"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","ensembl"
"Zfp644",1143.09048327013,0.0591075615204708,0.0968895103551705,0.610051194435792,0.541827895398187,0.999813356907188,"52397","ENSMUSG00000049606"
"Fam175a",308.4307214063,0.107171288897445,0.175680850293839,0.610033983318005,0.541839296251735,0.999813356907188,NA,NA
"Sh3glb1",3177.10541501228,-0.0453065792355638,0.0742701239509603,-0.610024284670364,0.541845720806509,0.999813356907188,"54673","ENSMUSG00000037062"
"Mrpl20",1377.42868631431,0.0598200676425358,0.0980668474731028,0.609992767014794,0.541866598918345,0.999813356907188,"66448","ENSMUSG00000029066"
"Pcdhga4",2.45241293486788,-1.13396971963774,1.85941042495105,-0.609854448711928,0.541958229292731,NA,"93712","ENSMUSG00000103677"
"Zbtb1",1656.60828894477,0.0525101591889465,0.0861195384695795,0.609735724576543,0.5420368854753,0.999813356907188,"268564","ENSMUSG00000033454"
"Med8",1415.39091874253,0.0599617537851526,0.0983591780607026,0.60962032183867,0.542113346649093,0.999813356907188,"80509","ENSMUSG00000006392"
"Zpbp",21.8717865599125,-0.360709306591965,0.591934721713737,-0.609373455146641,0.542276928568301,0.999813356907188,"53604","ENSMUSG00000020193"
"Gm10244",4.0259938944653,0.835817219288826,1.37266379296789,0.608901628767865,0.542589644572973,NA,"621427","ENSMUSG00000068601"
"Hoxa4",6.70195863337078,-0.658396976018689,1.08142708506376,-0.608822346982247,0.542642199591865,NA,"15401","ENSMUSG00000000942"
"Tnfaip1",895.425018860221,-0.0655791758693506,0.107722214585748,-0.608780427709726,0.542669988439293,0.999813356907188,"21927","ENSMUSG00000017615"
"Pop4",1450.31868771703,0.0552406555444765,0.0907440812210392,0.608752161035368,0.542688727196801,0.999813356907188,"66161","ENSMUSG00000030423"
"1600002K03Rik",271.952666938837,0.107296903297859,0.176288623198063,0.608643378973519,0.542760844831969,0.999813356907188,"69770","ENSMUSG00000035595"
"Odf2l",435.573924780634,0.0869791662510455,0.142940759037703,0.608498001805792,0.542857230838075,0.999813356907188,"52184","ENSMUSG00000028256"
"B230317F23Rik",6.70053454475172,-0.658008986771891,1.08142355551815,-0.608465557657116,0.542878742683167,NA,"320383",NA
"4833439L19Rik",1231.47847270721,0.0594724838820288,0.0977436666221126,0.608453580035581,0.542886684461015,0.999813356907188,"97820","ENSMUSG00000025871"
"Nfatc2",1356.58455972883,-0.0652393627489452,0.107231425333411,-0.608397795199481,0.542923673433104,0.999813356907188,"18019","ENSMUSG00000027544"
"Slx1b",312.050857009139,0.102789828999319,0.168976283781594,0.608309205877539,0.542982416491252,0.999813356907188,"75764","ENSMUSG00000059772"
"Nol8",1273.46612577399,0.056708161244788,0.0932432086206666,0.60817470873926,0.543071606803771,0.999813356907188,"70930","ENSMUSG00000021392"
"Gm43034",16.3223879127929,0.415316527874498,0.683013761248849,0.608064656142677,0.543144592412077,0.999813356907188,NA,NA
"Zmym4",1331.28981102984,0.0573309665712339,0.0942884808029806,0.608037865102834,0.543162360658883,0.999813356907188,"67785","ENSMUSG00000042446"
"A930016O22Rik",8.51111757002529,0.608525455553493,1.00082253012714,0.608025336396241,0.54317066999713,NA,"100503495","ENSMUSG00000040705"
"Gm43173",6.79266838405722,0.642046475897422,1.0560502606127,0.607969620238452,0.543207623053904,NA,NA,NA
"Lgr6",6.79266838405722,0.642046475897422,1.0560502606127,0.607969620238452,0.543207623053904,NA,"329252","ENSMUSG00000042793"
"Gm25291",24.6116627615445,-0.33898181604,0.557690411199726,-0.607831530240531,0.54329921494326,0.999813356907188,NA,NA
"Lockd",619.841625052491,-0.0756291991097739,0.124441571833438,-0.607748664658479,0.543354181450889,0.999813356907188,"381822","ENSMUSG00000098318"
"Alox15",6.69537195536124,-0.661446948027427,1.08841743172713,-0.607714401429444,0.543376909790311,NA,"11687","ENSMUSG00000018924"
"Paxbp1",3039.98603706666,-0.0492631108829582,0.0811192514873737,-0.607292473484251,0.543656832347343,0.999813356907188,"67367","ENSMUSG00000022974"
"Reep4",1173.41086495947,-0.0589211749278871,0.0970246805039558,-0.60728027777927,0.543664924494587,0.999813356907188,"72549","ENSMUSG00000033589"
"Cabyr",2.27550164198282,1.102033835485,1.81550531190556,0.607012179065622,0.543842829658502,NA,"71132","ENSMUSG00000024430"
